INDEX,DATE,TIME,Interval,Mobile_Controller,Alarm,Game,Music,Note,Training,Video,Home_Controller,AirConditioner,DoorLock,Lamp,TV,Vacuum,Washer
1,2020-06-16,4:34:27,16467,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2020-06-16,4:34:29,16469,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2020-06-16,4:34:30,16470,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2020-06-16,4:34:31,16471,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,2020-06-16,4:34:32,16472,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,2020-06-16,4:34:33,16473,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2020-06-16,4:34:34,16474,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2020-06-16,4:34:35,16475,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2020-06-16,4:34:37,16477,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2020-06-16,4:34:38,16478,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2020-06-16,4:34:39,16479,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12,2020-06-16,4:34:41,16481,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,2020-06-16,4:34:42,16482,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14,2020-06-16,4:34:43,16483,1,0,0,0,0,0,0,1,0,0,0,0,0,0
15,2020-06-16,4:34:44,16484,1,0,0,0,0,0,0,1,0,0,0,0,0,0
16,2020-06-16,4:34:45,16485,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17,2020-06-16,4:34:46,16486,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18,2020-06-16,4:34:47,16487,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,2020-06-16,4:34:48,16488,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20,2020-06-16,4:34:49,16489,1,0,0,0,0,0,0,1,0,0,0,0,0,0
21,2020-06-16,4:34:50,16490,1,0,0,0,0,0,0,1,0,0,0,0,0,0
22,2020-06-16,4:34:51,16491,1,0,0,0,0,0,0,1,0,0,0,0,0,0
23,2020-06-16,4:34:52,16492,1,0,0,0,0,0,0,1,0,0,0,0,0,0
24,2020-06-16,4:34:53,16493,1,0,0,0,0,0,0,1,0,0,0,0,0,0
25,2020-06-16,4:34:54,16494,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,2020-06-16,4:34:55,16495,1,0,0,0,0,0,0,1,0,0,0,0,0,0
27,2020-06-16,4:34:56,16496,1,1,0,0,0,0,0,1,0,0,0,0,0,0
28,2020-06-16,4:34:57,16497,1,1,0,0,0,0,0,1,0,0,0,0,0,0
29,2020-06-16,4:34:58,16498,1,1,0,0,0,0,0,1,0,0,0,0,0,0
30,2020-06-16,4:34:59,16499,1,1,0,0,0,0,0,1,0,0,1,0,0,0
31,2020-06-16,4:35:00,16500,1,0,0,0,0,0,0,1,0,0,1,0,0,0
32,2020-06-16,4:35:01,16501,1,0,0,0,0,0,0,1,0,0,1,0,0,0
33,2020-06-16,4:35:02,16502,1,0,0,0,0,0,0,1,0,0,1,0,0,0
34,2020-06-16,4:35:03,16503,1,0,0,0,0,0,0,1,0,0,1,0,0,0
35,2020-06-16,4:35:04,16504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,0,0,0
36,2020-06-16,4:35:05,16505,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,2020-06-16,4:35:06,16506,1,0,0,0,0,0,0,1,0,0,1,0,0,0
38,2020-06-16,4:35:07,16507,1,0,0,0,0,0,0,1,0,0,1,0,0,0
39,2020-06-16,4:35:08,16508,1,0,0,0,0,0,0,1,0,0,1,0,0,0
40,2020-06-16,4:35:09,16509,1,0,0,0,0,0,0,1,0,0,1,0,0,0
41,2020-06-16,4:35:10,16510,1,0,0,0,0,0,0,1,0,0,1,0,0,0
42,2020-06-16,4:35:11,16511,1,0,0,0,0,0,0,1,0,0,1,0,0,0
43,2020-06-16,4:35:12,16512,1,0,0,0,0,0,0,1,0,0,1,1,0,0
44,2020-06-16,4:35:13,16513,1,0,0,0,0,0,0,1,0,0,1,1,0,0
45,2020-06-16,4:35:14,16514,1,0,0,0,0,0,0,1,0,0,1,1,0,0
46,2020-06-16,4:35:15,16515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1,0,0,0
47,2020-06-16,4:35:16,16516,1,0,0,0,0,0,0,1,0,0,0,0,0,0
48,2020-06-16,4:35:17,16517,1,0,0,0,0,0,0,1,0,0,0,0,0,0
49,2020-06-16,4:35:18,16518,1,0,0,0,0,0,0,1,0,0,0,0,0,0
50,2020-06-16,4:35:18,16518,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,2020-06-16,4:35:19,16519,1,0,0,0,0,0,0,1,0,0,0,0,0,0
52,2020-06-16,4:35:20,16520,1,0,0,0,0,0,0,1,0,0,0,0,0,0
53,2020-06-16,4:35:21,16521,1,0,0,0,0,0,0,1,0,0,0,0,0,0
54,2020-06-16,4:35:22,16522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0,0,0,0
55,2020-06-16,4:35:23,16523,1,0,0,0,0,0,0,1,0,0,0,0,0,0
56,2020-06-16,4:35:24,16524,1,0,0,0,0,0,0,1,0,0,0,0,0,0
57,2020-06-16,4:35:25,16525,1,0,0,0,0,0,0,1,0,0,0,0,0,0
58,2020-06-16,4:35:26,16526,1,0,0,0,0,0,0,1,0,0,0,0,0,0
59,2020-06-16,4:35:27,16527,1,1,0,0,0,0,0,1,0,0,0,0,0,0
60,2020-06-16,4:35:28,16528,1,1,0,0,0,0,0,1,0,0,0,0,0,0
61,2020-06-16,4:35:29,16529,1,1,0,0,0,0,0,1,0,0,0,0,0,0
62,2020-06-16,4:35:30,16530,1,1,0,0,0,0,0,1,0,0,0,0,0,0
63,2020-06-16,4:35:31,16531,1,1,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,2020-06-16,4:35:32,16532,1,1,0,0,0,0,0,1,0,0,0,0,0,0
65,2020-06-16,4:35:33,16533,1,0,0,0,0,0,0,1,0,0,1,0,0,0
66,2020-06-16,4:35:34,16534,1,0,0,0,0,0,0,1,0,0,1,0,0,0
67,2020-06-16,4:35:35,16535,1,0,0,0,0,0,0,1,0,0,1,0,0,0
68,2020-06-16,4:35:36,16536,1,0,0,0,0,0,0,1,0,0,1,0,0,0
69,2020-06-16,4:35:37,16537,1,0,0,0,0,0,0,1,0,0,1,0,0,0
70,2020-06-16,4:35:38,16538,1,0,0,0,0,0,0,1,0,0,1,0,0,0
71,2020-06-16,4:35:39,16539,1,0,0,0,0,0,0,1,0,0,1,0,0,0
72,2020-06-16,4:35:40,16540,1,0,0,0,0,0,0,1,0,0,1,0,0,0
73,2020-06-16,4:35:41,16541,1,0,0,0,0,0,0,1,0,0,1,0,0,0
74,2020-06-16,4:35:42,16542,1,0,0,0,0,0,0,1,0,0,1,0,0,0
75,2020-06-16,4:35:43,16543,1,0,0,0,0,0,0,1,0,0,1,0,0,0
76,2020-06-16,4:35:44,16544,1,0,0,0,0,0,0,1,0,0,1,1,0,0
77,2020-06-16,4:35:45,16545,1,0,0,0,0,0,0,1,0,0,1,1,0,0
78,2020-06-16,4:35:46,16546,1,0,0,0,0,0,0,1,0,0,1,1,0,0
79,2020-06-16,4:35:47,16547,1,0,0,0,0,0,0,1,0,0,1,1,0,0
80,2020-06-16,4:35:48,16548,1,0,0,0,0,0,0,1,0,0,1,0,0,0
81,2020-06-16,4:35:49,16549,1,0,0,0,0,0,0,1,0,0,0,0,0,0
82,2020-06-16,4:35:50,16550,1,0,0,0,0,0,0,1,0,0,0,0,0,0
83,2020-06-16,4:35:51,16551,1,0,0,0,0,0,0,1,0,0,0,0,0,0
84,2020-06-16,4:35:52,16552,1,0,0,0,0,0,0,1,0,0,0,0,0,0
85,2020-06-16,4:35:53,16553,1,0,0,0,0,0,0,1,0,0,0,0,0,0
86,2020-06-16,4:35:54,16554,1,0,0,0,0,0,0,1,0,0,0,0,0,0
87,2020-06-16,4:35:55,16555,1,0,0,0,0,0,0,1,0,0,0,0,0,0
88,2020-06-16,4:35:56,16556,1,0,0,0,0,0,0,1,0,0,0,0,0,0
89,2020-06-16,4:35:57,16557,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90,2020-06-16,4:35:58,16558,1,1,0,0,0,0,0,1,0,0,0,0,0,0
91,2020-06-16,4:35:59,16559,1,1,0,0,0,0,0,1,0,0,0,0,0,0
92,2020-06-16,4:36:00,16560,1,1,0,0,0,0,0,1,0,0,0,0,0,0
93,2020-06-16,4:36:01,16561,1,1,0,0,0,0,0,1,0,0,0,0,0,0
94,2020-06-16,4:36:02,16562,1,1,0,0,0,0,0,1,0,0,0,0,0,0
95,2020-06-16,4:36:03,16563,1,1,0,0,0,0,0,1,0,0,0,0,0,0
96,2020-06-16,4:36:04,16564,1,0,0,0,0,0,0,1,0,0,0,0,0,0
97,2020-06-16,4:36:05,16565,1,0,0,0,0,0,0,1,0,0,1,0,0,0
98,2020-06-16,4:36:06,16566,1,0,0,0,0,0,0,1,0,0,1,0,0,0
99,2020-06-16,4:36:07,16567,1,0,0,0,0,0,0,1,0,0,1,0,0,0
100,2020-06-16,4:36:08,16568,1,0,0,0,0,0,0,1,0,0,1,0,0,0
101,2020-06-16,4:36:09,16569,1,0,0,0,0,0,0,1,0,0,1,0,0,0
102,2020-06-16,4:36:10,16570,1,0,0,0,0,0,0,1,0,0,1,0,0,0
103,2020-06-16,4:36:11,16571,1,0,0,0,0,0,0,1,0,0,1,0,0,0
