INDEX,DATE,TIME,Controller,Alarm,Game,Music,Note,Training,Video
0,2020/06/11,19:34:36,0,0,0,0,0,0,0
1,2020/06/11,19:34:37,0,0,0,0,0,0,0
2,2020/06/11,19:34:38,0,0,0,0,0,0,0
3,2020/06/11,19:34:39,0,0,0,0,0,0,0
4,2020/06/11,19:34:40,0,0,0,0,0,0,0
5,2020/06/11,19:34:41,0,0,0,0,0,0,0
6,2020/06/11,19:34:42,0,0,0,0,0,0,0
7,2020/06/11,19:34:43,0,0,0,0,0,0,0
8,2020/06/11,19:34:44,1,0,0,0,0,0,0
9,2020/06/11,19:34:45,1,0,0,0,0,0,0
10,2020/06/11,19:34:46,1,0,1,0,0,0,0
11,2020/06/11,19:34:47,1,0,1,0,0,0,0
12,2020/06/11,19:34:48,1,0,1,0,0,0,0
13,2020/06/11,19:34:49,1,0,1,0,1,0,0
14,2020/06/11,19:34:50,1,0,1,0,1,0,0
15,2020/06/11,19:34:51,1,0,1,0,1,0,0
16,2020/06/11,19:34:52,1,0,1,0,0,0,0
17,2020/06/11,19:34:53,1,0,0,0,0,0,0
18,2020/06/11,19:34:54,1,0,0,1,0,0,0
19,2020/06/11,19:34:55,1,0,0,1,0,0,0
20,2020/06/11,19:34:56,1,0,0,1,0,1,0
21,2020/06/11,19:34:57,1,0,0,1,0,1,1
22,2020/06/11,19:34:58,1,0,0,1,1,1,1
23,2020/06/11,19:34:59,1,0,0,1,1,1,1
24,2020/06/11,19:35:00,1,0,0,1,1,1,1
25,2020/06/11,19:35:01,1,0,0,1,1,1,1
26,2020/06/11,19:35:02,1,0,0,1,1,1,1
27,2020/06/11,19:35:03,1,0,0,1,1,1,1
28,2020/06/11,19:35:04,1,0,0,1,1,1,1
29,2020/06/11,19:35:05,1,0,0,1,1,1,1
30,2020/06/11,19:35:06,1,0,0,1,1,1,1
31,2020/06/11,19:35:07,1,0,0,0,1,1,1
32,2020/06/11,19:35:08,1,0,0,0,1,0,1
33,2020/06/11,19:35:09,1,0,0,0,0,0,1
34,2020/06/11,19:35:10,1,0,0,0,0,0,1
35,2020/06/11,19:35:11,1,0,0,0,0,0,0
36,2020/06/11,19:35:12,1,0,0,0,0,0,0
37,2020/06/11,19:35:13,1,0,0,0,0,0,0
38,2020/06/11,19:35:14,1,0,0,0,0,0,0
39,2020/06/11,19:35:15,1,0,0,0,0,0,0
40,2020/06/11,19:35:16,0,0,0,0,0,0,0
41,2020/06/11,19:35:17,0,0,0,0,0,0,0
