INDEX,DATE,TIME,Interval,Mobile_Controller,Alarm,Game,Music,Note,Training,Video,Home_Controller,AirConditioner,DoorLock,Lamp,TV,Vacuum,Washer
1,2020/06/18,10:45:34,38734,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,2020/06/18,10:45:35,38735,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,2020/06/18,10:45:36,38736,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,2020/06/18,10:45:37,38737,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2020/06/18,10:45:38,38738,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6,2020/06/18,10:45:39,38739,1,0,0,0,0,0,0,1,0,0,0,0,0,0
7,2020/06/18,10:45:40,38740,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8,2020/06/18,10:45:41,38741,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9,2020/06/18,10:45:42,38742,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10,2020/06/18,10:45:43,38743,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11,2020/06/18,10:45:44,38744,1,1,0,0,0,0,0,1,0,0,0,0,0,0
12,2020/06/18,10:45:45,38745,1,1,0,0,0,0,0,1,0,0,0,0,0,0
13,2020/06/18,10:45:46,38746,1,1,0,0,0,0,0,1,0,0,1,0,0,0
14,2020/06/18,10:45:47,38747,1,1,0,0,0,0,0,1,0,0,1,0,0,0
15,2020/06/18,10:45:48,38748,1,1,0,0,0,0,0,1,0,0,1,0,0,0
16,2020/06/18,10:45:49,38749,1,0,0,0,0,0,0,1,0,0,1,0,0,0
17,2020/06/18,10:45:50,38750,1,0,0,0,0,0,0,1,0,0,1,1,0,0
18,2020/06/18,10:45:51,38751,1,0,0,0,0,0,0,1,0,0,1,1,0,0
19,2020/06/18,10:45:52,38752,1,0,0,0,0,0,0,1,0,0,1,1,0,0
20,2020/06/18,10:45:53,38753,1,0,0,0,0,0,0,1,0,0,1,1,0,0
21,2020/06/18,10:45:54,38754,1,0,0,1,0,0,0,1,0,0,1,1,0,0
22,2020/06/18,10:45:55,38755,1,0,0,1,0,0,0,1,0,0,1,0,0,0
23,2020/06/18,10:45:56,38756,1,0,0,1,0,0,0,1,0,0,1,0,0,0
24,2020/06/18,10:45:57,38757,1,0,0,1,0,0,0,1,0,0,0,0,0,0
25,2020/06/18,10:45:58,38758,1,0,0,0,0,0,0,1,0,0,0,0,0,0
26,2020/06/18,10:45:59,38759,1,0,0,0,0,0,0,1,0,1,0,0,0,0
27,2020/06/18,10:46:00,38760,1,0,0,0,0,0,0,1,0,1,0,0,0,0
28,2020/06/18,10:46:01,38761,1,0,0,0,0,0,0,1,0,0,0,0,0,0
29,2020/06/18,10:46:02,38762,1,0,0,0,0,0,0,1,0,0,0,0,0,0
30,2020/06/18,10:46:03,38763,1,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
